ledger,page,row,date,journal,particulars,cheque,debit,credit,balance,balance_side,day_ordinal,notes
BANK_PBB,1,1,01/06/2026,,BALANCE C/FWD,,172288.16,,172288.16,DR,1,opening anchor printed in DEBIT column; matches account_opening_balances anchor 172288.16
BANK_PBB,1,2,01/06/2026,JV26/06/01,AUTOMATED LOAN PYMT OF AC#2-9841452-06 F OR MONTH OF JUNE 2026,,,4082.00,168206.16,DR,2,JV journal ref format JV{YY}/{MM}/{seq}; no cheque value; particulars wraps mid-word (F OR = FOR)
BANK_PBB,1,3,01/06/2026,JV26/06/02,AUTOMATED LOAN PYMT OF AC#8064214419(900 10) FOR MONTH OF JUN'2026,,,2086.00,166120.16,DR,3,
BANK_PBB,1,4,01/06/2026,T010626,INV/NO : 025841/KLIAS,T010626,23755.30,,189875.46,DR,4,T-family direct-to-bank receipt; cheque column repeats journal base
BANK_PBB,1,5,03/06/2026,TF030626,INV/NO : 63810/DESSERT,TF030626,206.40,,190081.86,DR,1,
BANK_PBB,1,6,04/06/2026,PBE001/06,AMOUNT DUE TO DIRECTOR -GTH/WSF,PBE26060,,1316.00,188765.86,DR,1,PBE payment ref format PBE{seq}/{MM}; cheque column PBE26060 batch ref
BANK_PBB,1,7,04/06/2026,PBE002/06,CLAIM BILLS,PBE26060,,414.98,188350.88,DR,2,
BANK_PBB,1,8,04/06/2026,PBE003/06,DRAWING WORKERS-RAMLIH,PBE26060,,100.00,188250.88,DR,3,
BANK_PBB,1,9,04/06/2026,PBE004/06,SABAFIRE ENGINEERING,PBE26060,,425.00,187825.88,DR,4,date partially obscured by hole punch; day inferred 04 from balance chain
BANK_PBB,1,10,04/06/2026,PBE005/06,SANAJA S/B,PBE26060,,1026.40,186799.48,DR,5,payee name print quality low (SANAJA vs SAHAJA UNCERTAIN)
BANK_PBB,1,11,04/06/2026,PBE006/06,PUNCAK NIAGA,PBE26060,,22631.40,164168.08,DR,6,
BANK_PBB,1,12,04/06/2026,PBE007/06,CLAIM BILLS/DRAWING WORKERS -NORSALINA J ULHARI (BOY)),PBE26060,,5000.00,159168.08,DR,7,particulars wraps mid-word (J ULHARI = JULHARI)
BANK_PBB,1,13,04/06/2026,RV001/06,SALES 14/05/2026,,200.00,,159368.08,DR,8,RV bank-in row; pre-June source date 14/05; no cheque value
BANK_PBB,1,14,04/06/2026,RV002/06,SALES 19/05/2026,,500.00,,159868.08,DR,9,
BANK_PBB,1,15,04/06/2026,RV003/06,SALES 28/05/2026,,1000.00,,160868.08,DR,10,
BANK_PBB,1,16,04/06/2026,RV004/06,SALES 29/05/2026,,8000.00,,168868.08,DR,11,
BANK_PBB,1,17,04/06/2026,RV005/06,SALES 04/06/2026,,1000.00,,169868.08,DR,12,partial banking of 04/06 pool: RV005-009 = 13280.00 of 17747.60
BANK_PBB,1,18,04/06/2026,RV006/06,SALES 04/06/2026,,4830.00,,174698.08,DR,13,
BANK_PBB,1,19,04/06/2026,RV007/06,SALES 04/06/2026,,950.00,,175648.08,DR,14,
BANK_PBB,1,20,04/06/2026,RV008/06,SALES 04/06/2026,,3000.00,,178648.08,DR,15,
BANK_PBB,1,21,04/06/2026,RV009/06,SALES 04/06/2026,,3500.00,,182148.08,DR,16,
BANK_PBB,1,22,04/06/2026,TF040626,INV/NO : 63632/SHOP(3),TF040626,1427.90,,183575.98,DR,17,TF-family suffix series base; cheque column carries base ref for all suffixed rows
BANK_PBB,1,23,04/06/2026,TF040626-1,INV/NO : 63661/SHOP(1),TF040626,798.40,,184374.38,DR,18,
BANK_PBB,1,24,04/06/2026,TF040626-2,INV/NO : 63487/63662/SHOP(2),TF040626,1629.00,,186003.38,DR,19,plan fixture 6: one transfer settling two invoices 63487+63662 = 1629.00
BANK_PBB,1,25,04/06/2026,TF040626-3,INV/NO : 63699/MYSHOP-NBZ,TF040626,342.00,,186345.38,DR,20,
BANK_PBB,1,26,04/06/2026,TF040626-4,INV/NO : 63594/63687/MYSHOP(1),TF040626,1729.10,,188074.48,DR,21,date obscured by hole punch; day inferred 04
BANK_PBB,1,27,04/06/2026,TF040626-5,INV/NO : 63686/63593/MYSHOP(3),TF040626,2551.50,,190625.98,DR,22,invoice numbers printed out of numeric order (63686 before 63593)
BANK_PBB,1,28,04/06/2026,TF040626-6,INV/NO : 63577/MYSHOP(KM),TF040626,353.05,,190979.03,DR,23,
BANK_PBB,1,29,04/06/2026,TF040626-7,INV/NO : 63579/63578/MYSHOP-QL,TF040626,2147.60,,193126.63,DR,24,
BANK_PBB,1,30,04/06/2026,TR040626,INV/NO : 2004744/MYSHOP(B),TR040626,2377.40,,195504.03,DR,25,
BANK_PBB,1,31,04/06/2026,TR040626-1,INV/NO : 2004755/2004802/MYSHOP-P4,TR040626,2388.40,,197892.43,DR,26,
BANK_PBB,1,32,04/06/2026,TR040626-2,INV/NO : 2004754/MYSHOP-K,TR040626,1805.00,,199697.43,DR,27,
BANK_PBB,1,33,04/06/2026,TT040626,INV/NO : 34675/MYSHOP-TBT,TT040626,1771.60,,201469.03,DR,28,
BANK_PBB,1,34,04/06/2026,TT040626-1,INV/NO : 34673/MYSHOP(T),TT040626,5456.00,,206925.03,DR,29,
BANK_PBB,1,35,04/06/2026,TT040626-2,INV/NO : 34676/MYSHOP(T3),TT040626,1547.60,,208472.63,DR,30,
BANK_PBB,1,36,04/06/2026,TT040626-3,INV/NO : 34699/34783/MYSHOP(2),TT040626,1113.60,,209586.23,DR,31,
BANK_PBB,1,37,04/06/2026,TT040626-4,INV/NO : 34729/MYSHOP(R2),TT040626,1026.00,,210612.23,DR,32,
BANK_PBB,1,38,04/06/2026,TT040626-5,INV/NO : 34772/MYSHOP(KV),TT040626,1026.00,,211638.23,DR,33,
BANK_PBB,1,39,05/06/2026,PBE008/06,PBB-MONTHLY SALARY STAFFS/WORKERS & DIRE CTOR(05/2026),PBE26060,,99794.95,111843.28,DR,1,largest single credit of month; wraps mid-word (DIRE CTOR)
BANK_PBB,2,40,05/06/2026,PBE009/06,JELLY POLLY FOOD INDUSTRIES -TRANSFER FU ND,PBE26060,,1500.00,110343.28,DR,2,inter-company transfer to Jelly Polly
BANK_PBB,2,41,05/06/2026,T050626,INV/NO : 015335/JOJO,T050626,305.00,,110648.28,DR,3,
BANK_PBB,2,42,05/06/2026,T050626-1,INV/NO : 025843/KLIAS,T050626-,23462.05,,134110.33,DR,4,cheque column truncated at hyphen (T050626-) for suffixed T refs
BANK_PBB,2,43,05/06/2026,T050626-2,INV/NO : 015350/JOM,T050626-,357.00,,134467.33,DR,5,
BANK_PBB,2,44,05/06/2026,TF050626,INV/NO : 63868/63888/DEJAYA,TF050626,2998.80,,137466.13,DR,6,
BANK_PBB,2,45,05/06/2026,TJ050626,INV/NO : 004697/JP,TJ050626,594.10,,138060.23,DR,7,TJ prefix = Jelly Polly invoice receipt (invoice 004697/JP) landing in TH bank
BANK_PBB,2,46,06/06/2026,PBE010/06,LOAN PYMT 6TH INSTALLMENT OF PERODUA ATI VA QCV920),PBE26060,,2000.00,136060.23,DR,1,
BANK_PBB,2,47,06/06/2026,PBE011/06,TOYOTA CAPITAL (M) S/B -DRAWING WORKERS LEBERI@ FRANCIS AC#2000104315401-SK679D,PBE26060,,972.00,135088.23,DR,2,
BANK_PBB,2,48,06/06/2026,PBE012/06,MULTI-BEST TRADING S/B,PBE26060,,1872.00,133216.23,DR,3,
BANK_PBB,2,49,06/06/2026,PIB439770,INV/NO : 34530/ZENITH,439770,2088.00,,135304.23,DR,4,external-bank cheque receipt; journal = bank prefix PIB + cheque no; cheque column bare number
BANK_PBB,2,50,06/06/2026,RHB022790,INV/NO : 63801/63844/SD,022790,9604.90,,144909.13,DR,5,RHB cheque settling two invoices
BANK_PBB,2,51,06/06/2026,T060626,INV/NO : 015351/SEGARRAYA,T060626,2700.00,,147609.13,DR,6,
BANK_PBB,2,52,06/06/2026,TF060626,INV/NO : 63745/63803/C-CARE(1),TF060626,5220.00,,152829.13,DR,7,AGGREGATED bank debit 5220.00 = 1080.00 + 4140.00 itemized in C-CARE(1) debtor ledger
BANK_PBB,2,53,06/06/2026,TF060626-1,INV/NO : 63793/C-CARE(3),TF060626,2430.00,,155259.13,DR,8,
BANK_PBB,2,54,06/06/2026,TR060626,INV/NO : 2004818/C-CARE(9),TR060626,2921.40,,158180.53,DR,9,
BANK_PBB,2,55,06/06/2026,TR060626-1,INV/NO : 2004805/2004843/C-CARE(2),TR060626,6930.00,,165110.53,DR,10,
BANK_PBB,2,56,06/06/2026,TR060626-2,INV/NO : 2004815/C-CARE(7),TR060626,4860.00,,169970.53,DR,11,
BANK_PBB,2,57,06/06/2026,TT060626,INV/NO : 34946/POOI,TT060626,795.00,,170765.53,DR,12,
BANK_PBB,2,58,06/06/2026,TT060626-1,INV/NO : 34829/C-CARE(5),TT060626,1710.00,,172475.53,DR,13,
BANK_PBB,2,59,06/06/2026,TT060626-2,INV/NO : 34841/C-CARE(4),TT060626,2055.50,,174531.03,DR,14,
BANK_PBB,2,60,07/06/2026,TF070626,INV/NO : 63814/63849/LILI,TF070626,1381.00,,175912.03,DR,1,
BANK_PBB,2,61,07/06/2026,TF070626-1,INV/NO : 63764/TONG,TF070626,1235.00,,177147.03,DR,2,
