ledger,page,row,date,journal,particulars,cheque,debit,credit,balance,balance_side,day_ordinal,notes
CASH_SALES,1,1,01/06/2026,,BALANCE C/FWD,,,1037680.40,1037680.40,CR,1,report header prints stale "DATE : 01 MAR 2010"; handwritten on page: C-1251045.50 O-1037680.40 RM213365.10
CASH_SALES,1,2,04/06/2026,015349,CASH BILL : 015349 MILTI,,,34.20,1037714.60,CR,1,
CASH_SALES,1,3,04/06/2026,2004885,CASH BILL2004885 KY,,,174.00,1037888.60,CR,2,
CASH_SALES,1,4,04/06/2026,2004886,CASH BILL2004886 SUNRISE-KB,,,2460.00,1040348.60,CR,3,
CASH_SALES,1,5,04/06/2026,34930,CASH BILL34930 SABANAH(1),,,5610.00,1045958.60,CR,4,
CASH_SALES,1,6,04/06/2026,34932,CASH BILL34932 RABIAH,,,393.00,1046351.60,CR,5,
CASH_SALES,1,7,04/06/2026,34933,CASH BILL34933 ANAKMAMI,,,654.00,1047005.60,CR,6,
CASH_SALES,1,8,04/06/2026,34934,CASH BILL34934 SAID,,,522.00,1047527.60,CR,7,
CASH_SALES,1,9,04/06/2026,63877,CASH BILL63877 33,,,4450.40,1051978.00,CR,8,
CASH_SALES,1,10,04/06/2026,63878,CASH BILL63878 WAHAB,,,870.00,1052848.00,CR,9,date partially hole-punched; day inferred 04
CASH_SALES,1,11,04/06/2026,63879,CASH BILL63879 WAHAB,,,870.00,1053718.00,CR,10,
CASH_SALES,1,12,04/06/2026,63881,CASH BILL63881 MASHAL,,,1710.00,1055428.00,CR,11,
CASH_SALES,1,13,05/06/2026,022275,CASH BILL : 022275 HELEN,,,18.00,1055446.00,CR,1,
CASH_SALES,1,14,05/06/2026,2004889,CASH BILL2004889 NKN,,,3888.00,1059334.00,CR,2,
CASH_SALES,1,15,05/06/2026,34936,CASH BILL34936 SABANAH(2),,,3590.00,1062924.00,CR,3,
CASH_SALES,1,16,05/06/2026,34937,CASH BILL34937 SIMPANG,,,1978.20,1064902.20,CR,4,
CASH_SALES,1,17,05/06/2026,34939,CASH BILL34939 AKBAR,,,283.50,1065185.70,CR,5,
CASH_SALES,1,18,05/06/2026,34941,CASH BILL34941 AKBAR N OMAR,,,696.00,1065881.70,CR,6,
CASH_SALES,1,19,05/06/2026,34942,CASH BILL34942 SHIMA,,,534.00,1066415.70,CR,7,
CASH_SALES,1,20,05/06/2026,63886,CASH BILL63886 GREENS,,,365.00,1066780.70,CR,8,
CASH_SALES,1,21,05/06/2026,63887,CASH BILL63887 BAZ(1),,,474.00,1067254.70,CR,9,
CASH_SALES,1,22,06/06/2026,015354,CASH BILL : 015354,,,334.00,1067588.70,CR,1,customer name omitted here; CH_REV1 prints RE CHAI
CASH_SALES,1,23,06/06/2026,34944,CASH BILL34944 SABANA,,,7932.00,1075520.70,CR,2,
CASH_SALES,1,24,06/06/2026,63891,CASH BILL63891 NAMPANG,,,412.80,1075933.50,CR,3,
CASH_SALES,1,25,06/06/2026,63892,CASH BILL63892 NAMPANG,,,168.00,1076101.50,CR,4,
CASH_SALES,1,26,06/06/2026,63893,CASH BILL63893 HAIFANG,,,188.30,1076289.80,CR,5,
CASH_SALES,1,27,06/06/2026,63895,CASH BILL63895 SIN,,,163.50,1076453.30,CR,6,
CASH_SALES,1,28,06/06/2026,63897,CASH BILL63897 CAKE,,,344.00,1076797.30,CR,7,
CASH_SALES,1,29,08/06/2026,022277,CASH BILL : 022277 SYLVESTER,,,54.00,1076851.30,CR,1,date partially hole-punched; day inferred 08
CASH_SALES,1,30,08/06/2026,2004895,CASH BILL : 2004895,,,267.50,1077118.80,CR,2,customer name omitted here; CH_REV1 prints A MARKET
CASH_SALES,1,31,08/06/2026,2004897,CASH BILL2004897 1M,,,720.00,1077838.80,CR,3,
CASH_SALES,1,32,08/06/2026,2004898,CASH BILL2004898 ROHANI,,,1184.00,1079022.80,CR,4,
CASH_SALES,1,33,08/06/2026,2004899,CASH BILL2004899 ISLAM,,,708.00,1079730.80,CR,5,
CASH_SALES,1,34,08/06/2026,2004900,CASH BILL2004900 KIANHUAT2,,,212.20,1079943.00,CR,6,
CASH_SALES,1,35,08/06/2026,2004901,CASH BILL2004901 ROHANI(2),,,1605.00,1081548.00,CR,7,
