ledger,page,row,date,journal,particulars,cheque,debit,credit,balance,balance_side,day_ordinal,notes
CH_REV1,1,1,01/06/2026,,BALANCE C/FWD,,35644.35,,35644.35,DR,1,opening anchor printed in DEBIT column
CH_REV1,1,2,04/06/2026,015349,CASH BILL : 015349 MILTI,,34.20,,35678.55,DR,1,plan fixture 1; leading zero preserved
CH_REV1,1,3,04/06/2026,2004885,CASH BILL2004885 KY,,174.00,,35852.55,DR,2,
CH_REV1,1,4,04/06/2026,2004886,CASH BILL2004886 SUNRISE-KB,,2460.00,,38312.55,DR,3,
CH_REV1,1,5,04/06/2026,34930,CASH BILL34930 SABANAH(1),,5610.00,,43922.55,DR,4,
CH_REV1,1,6,04/06/2026,34932,CASH BILL34932 RABIAH,,393.00,,44315.55,DR,5,
CH_REV1,1,7,04/06/2026,34933,CASH BILL34933 ANAKMAMI,,654.00,,44969.55,DR,6,
CH_REV1,1,8,04/06/2026,34934,CASH BILL34934 SAID,,522.00,,45491.55,DR,7,
CH_REV1,1,9,04/06/2026,63877,CASH BILL63877 33,,4450.40,,49941.95,DR,8,
CH_REV1,1,10,04/06/2026,63878,CASH BILL63878 WAHAB,,870.00,,50811.95,DR,9,date partially hole-punched; day inferred 04 from neighbours
CH_REV1,1,11,04/06/2026,63879,CASH BILL63879 WAHAB,,870.00,,51681.95,DR,10,
CH_REV1,1,12,04/06/2026,63881,CASH BILL63881 MASHAL,,1710.00,,53391.95,DR,11,
CH_REV1,1,13,04/06/2026,RV001/06,SALES 14/05/2026,,,200.00,53191.95,DR,12,pre-June source date banked in June (pre-cutover pool)
CH_REV1,1,14,04/06/2026,RV002/06,SALES 19/05/2026,,,500.00,52691.95,DR,13,pre-June source date
CH_REV1,1,15,04/06/2026,RV003/06,SALES 28/05/2026,,,1000.00,51691.95,DR,14,pre-June source date
CH_REV1,1,16,04/06/2026,RV004/06,SALES 29/05/2026,,,8000.00,43691.95,DR,15,pre-June source date
CH_REV1,1,17,04/06/2026,RV005/06,SALES 04/06/2026,,,1000.00,42691.95,DR,16,same-day partial banking of 04/06 pool
CH_REV1,1,18,04/06/2026,RV006/06,SALES 04/06/2026,,,4830.00,37861.95,DR,17,
CH_REV1,1,19,04/06/2026,RV007/06,SALES 04/06/2026,,,950.00,36911.95,DR,18,
CH_REV1,1,20,04/06/2026,RV008/06,SALES 04/06/2026,,,3000.00,33911.95,DR,19,
CH_REV1,1,21,04/06/2026,RV009/06,SALES 04/06/2026,,,3500.00,30411.95,DR,20,RV005-009 total 13280.00 of 17747.60 collected 04/06; remainder banked RV024/025 on 10/06
CH_REV1,1,22,05/06/2026,022275,CASH BILL : 022275 HELEN,,18.00,,30429.95,DR,1,leading zero preserved
CH_REV1,1,23,05/06/2026,2004889,CASH BILL2004889 NKN,,3888.00,,34317.95,DR,2,
CH_REV1,1,24,05/06/2026,34936,CASH BILL34936 SABANAH(2),,3590.00,,37907.95,DR,3,
CH_REV1,1,25,05/06/2026,34937,CASH BILL34937 SIMPANG,,1978.20,,39886.15,DR,4,
CH_REV1,1,26,05/06/2026,34939,CASH BILL34939 AKBAR,,283.50,,40169.65,DR,5,
CH_REV1,1,27,05/06/2026,34941,CASH BILL34941 AKBAR N OMAR,,696.00,,40865.65,DR,6,
CH_REV1,1,28,05/06/2026,34942,CASH BILL34942 SHIMA,,534.00,,41399.65,DR,7,
CH_REV1,1,29,05/06/2026,63886,CASH BILL63886 GREENS,,365.00,,41764.65,DR,8,
CH_REV1,1,30,05/06/2026,63887,CASH BILL63887 BAZ(1),,474.00,,42238.65,DR,9,
CH_REV1,1,31,06/06/2026,015354,CASH BILL : 015354 RE CHAI,,334.00,,42572.65,DR,1,
CH_REV1,1,32,06/06/2026,34944,CASH BILL34944 SABANA,,7932.00,,50504.65,DR,2,
CH_REV1,1,33,06/06/2026,63891,CASH BILL63891 NAMPANG,,412.80,,50917.45,DR,3,
CH_REV1,1,34,06/06/2026,63892,CASH BILL63892 NAMPANG,,168.00,,51085.45,DR,4,
CH_REV1,1,35,06/06/2026,63893,CASH BILL63893 HAIFANG,,188.30,,51273.75,DR,5,
CH_REV1,1,36,06/06/2026,63895,CASH BILL63895 SIN,,163.50,,51437.25,DR,6,
CH_REV1,1,37,06/06/2026,63897,CASH BILL63897 CAKE,,344.00,,51781.25,DR,7,
CH_REV1,1,38,08/06/2026,022277,CASH BILL : 022277 SYLVESTER,,54.00,,51835.25,DR,1,
CH_REV1,1,39,08/06/2026,2004895,CASH BILL : 2004895 A MARKET,,267.50,,52102.75,DR,2,
CH_REV1,1,40,08/06/2026,2004897,CASH BILL2004897 1M,,720.00,,52822.75,DR,3,
CH_REV1,1,41,08/06/2026,2004898,CASH BILL2004898 ROHANI,,1184.00,,54006.75,DR,4,
CH_REV1,1,42,08/06/2026,2004899,CASH BILL2004899 ISLAM,,708.00,,54714.75,DR,5,
CH_REV1,2,43,08/06/2026,2004900,CASH BILL2004900 KIANHUAT2,,212.20,,54926.95,DR,6,
CH_REV1,2,44,08/06/2026,2004901,CASH BILL2004901 ROHANI(2),,1605.00,,56531.95,DR,7,
CH_REV1,2,45,08/06/2026,2004902,CASH BILL2004902 TEEN,,3312.30,,59844.25,DR,8,
CH_REV1,2,46,08/06/2026,2004903,CASH BILL2004903 HASINA,,568.70,,60412.95,DR,9,
CH_REV1,2,47,08/06/2026,34949,CASH BILL34949 MADINAH,,348.00,,60760.95,DR,10,
CH_REV1,2,48,08/06/2026,63901,CASH BILL63901 JADI,,1044.00,,61804.95,DR,11,
CH_REV1,2,49,08/06/2026,63902,CASH BILL63902 SAMI,,522.00,,62326.95,DR,12,
CH_REV1,2,50,08/06/2026,F022277,CASH BILL : F022277 SYLVESTER,,,,62326.95,DR,13,ZERO-VALUE informational row; no amount printed; balance unchanged
CH_REV1,2,51,09/06/2026,015358,CASH BILL : 015358 RAMBU,,14.00,,62340.95,DR,1,date partially hole-punched; day inferred 09
CH_REV1,2,52,09/06/2026,022278,CASH BILL : 022278 LOUSENTIM,,180.00,,62520.95,DR,2,
CH_REV1,2,53,09/06/2026,022279,CASH BILL : 022279 NELSON,,128.00,,62648.95,DR,3,
CH_REV1,2,54,09/06/2026,2004905,CASH BILL2004905 HAMED,,4050.00,,66698.95,DR,4,
CH_REV1,2,55,09/06/2026,63904,CASH BILL63904 HAPPY,,360.00,,67058.95,DR,5,
CH_REV1,2,56,09/06/2026,63905,CASH BILL63905,,437.00,,67495.95,DR,6,no customer name printed
CH_REV1,2,57,09/06/2026,63910,CASH BILL63910 PG ENTERPRISE,,541.50,,68037.45,DR,7,
CH_REV1,2,58,09/06/2026,63911,CASH BILL63911 GUNUNG-TLP,,1235.00,,69272.45,DR,8,
CH_REV1,2,59,09/06/2026,F022279,CASH BILL : F022279 NELSON,,,,69272.45,DR,9,ZERO-VALUE informational row
CH_REV1,2,60,09/06/2026,RV010/06,SALES 06/06/2026,,,1200.00,68072.45,DR,10,
CH_REV1,2,61,09/06/2026,RV011/06,SALES 08/06/2026,,,1400.00,66672.45,DR,11,
CH_REV1,2,62,10/06/2026,022280,CASH BILL : 022280 AUGUSTINE,,280.00,,66952.45,DR,1,
CH_REV1,2,63,10/06/2026,022281,CASH BILL : 022281 NUBASA,,46.00,,66998.45,DR,2,
CH_REV1,2,64,10/06/2026,34952,CASH BILL34952 SABANAH(1),,5826.00,,72824.45,DR,3,
CH_REV1,2,65,10/06/2026,34953,CASH BILL34953 SHAB,,522.00,,73346.45,DR,4,
CH_REV1,2,66,10/06/2026,34954,CASH BILL34954 AKBAR,,870.00,,74216.45,DR,5,
CH_REV1,2,67,10/06/2026,34955,CASH BILL34955 AKBAR N OMAR,,504.00,,74720.45,DR,6,
CH_REV1,2,68,10/06/2026,34956,CASH BILL34956 COOPMART,,447.00,,75167.45,DR,7,
CH_REV1,2,69,10/06/2026,34957,CASH BILL34957 SABANAH-JB,,595.00,,75762.45,DR,8,
CH_REV1,2,70,10/06/2026,63914,CASH BILL63914 33,,1552.60,,77315.05,DR,9,date partially hole-punched; day inferred 10
CH_REV1,2,71,10/06/2026,63917,CASH BILL63917 HR,,2105.00,,79420.05,DR,10,
CH_REV1,2,72,10/06/2026,63918,CASH BILL63918 SAMI,,870.00,,80290.05,DR,11,June intraday peak balance
CH_REV1,2,73,10/06/2026,RV012/06,SALES 19/05/2026,,,4311.00,75979.05,DR,12,pre-June source date
CH_REV1,2,74,10/06/2026,RV013/06,SALES 20/05/2026,,,395.60,75583.45,DR,13,pre-June source date
CH_REV1,2,75,10/06/2026,RV014/06,SALES 21/05/2026,,,4980.50,70602.95,DR,14,pre-June source date
