ledger,page,row,date,journal,particulars,cheque,debit,credit,balance,balance_side,day_ordinal,notes
CR_SALES,1,1,01/06/2026,,BALANCE C/FWD,,,2296968.93,2296968.93,CR,1,report header prints stale "DATE : 01 MAR 2010"; handwritten on page: C-2809873.38 O-2296968.93 RM512904.45(partially cut)
CR_SALES,1,2,04/06/2026,2004884,INV/NO2004884 GUI,,,8076.00,2305044.93,CR,1,plan fixture 8: credit at issuance even though later paid
CR_SALES,1,3,04/06/2026,34931,INV/NO34931 C-CARE(4),,,854.00,2305898.93,CR,2,
CR_SALES,1,4,04/06/2026,34935,INV/NO34935 MYSHOP(KV),,,360.00,2306258.93,CR,3,
CR_SALES,1,5,04/06/2026,63880,INV/NO63880 C-CARE(8),,,1710.00,2307968.93,CR,4,
CR_SALES,1,6,05/06/2026,015350,INV/NO : 015350 JOM,,,357.00,2308325.93,CR,1,leading zero preserved
CR_SALES,1,7,05/06/2026,015351,INV/NO : 015351 SEGARRAYA,,,2700.00,2311025.93,CR,2,
CR_SALES,1,8,05/06/2026,015353,INV/NO : 015353 ROSE,,,22.90,2311048.83,CR,3,
CR_SALES,1,9,05/06/2026,2004887,INV/NO2004887 GUI(5),,,5504.40,2316553.23,CR,4,date partially hole-punched; day inferred 05
CR_SALES,1,10,05/06/2026,2004888,INV/NO2004888 GUI(2),,,1970.00,2318523.23,CR,5,
CR_SALES,1,11,05/06/2026,34938,INV/NO34938 ZENITH,,,1740.00,2320263.23,CR,6,
CR_SALES,1,12,05/06/2026,34940,INV/NO34940 MYSHOP(2),,,509.40,2320772.63,CR,7,
CR_SALES,1,13,05/06/2026,63882,INV/NO63882 RAMAI,,,2259.00,2323031.63,CR,8,
CR_SALES,1,14,05/06/2026,63884,INV/NO63884 YONGMAJU,,,1392.00,2324423.63,CR,9,
CR_SALES,1,15,05/06/2026,63885,INV/NO63885 YEEBEE,,,1590.00,2326013.63,CR,10,later paid by cash C63740? NO - 63885 is separate; see CH_REV2 C63740 for inv 63740
CR_SALES,1,16,05/06/2026,63888,INV/NO63888 DEJAYA,,,2214.00,2328227.63,CR,11,
CR_SALES,1,17,06/06/2026,015355,INV/NO : 015355 JOJO,,,305.00,2328532.63,CR,1,
CR_SALES,1,18,06/06/2026,2004890,INV/NO2004890 C-CARE(2),,,1728.00,2330260.63,CR,2,
CR_SALES,1,19,06/06/2026,2004891,INV/NO2004891 C-CARE(2),,,2070.00,2332330.63,CR,3,
CR_SALES,1,20,06/06/2026,2004892,INV/NO2004892 KIM(1),,,3431.00,2335761.63,CR,4,
CR_SALES,1,21,06/06/2026,2004893,INV/NO2004893 AA-T,,,1899.90,2337661.53,CR,5,
CR_SALES,1,22,06/06/2026,34945,INV/NO34945 TEO,,,795.00,2338456.53,CR,6,later paid cash C34945 20/06 (CH_REV2)
CR_SALES,1,23,06/06/2026,34946,INV/NO34946 POOI,,,795.00,2339251.53,CR,7,
CR_SALES,1,24,06/06/2026,63889,INV/NO63889 LILI,,,1903.00,2341154.53,CR,8,
CR_SALES,1,25,06/06/2026,63890,INV/NO63890 TONG,,,473.00,2341627.53,CR,9,
CR_SALES,1,26,06/06/2026,63894,INV/NO63894 KING,,,692.00,2342319.53,CR,10,
CR_SALES,1,27,06/06/2026,63896,INV/NO63896 MYSHOP-NBZ,,,171.00,2342490.53,CR,11,
CR_SALES,1,28,06/06/2026,63898,INV/NO : 63898 YONGSONS,,,1176.00,2343666.53,CR,12,date partially hole-punched; day inferred 06
CR_SALES,1,29,08/06/2026,015352,INV/NO : 015352 MASHTIWYA,,,46.40,2343712.93,CR,1,015352 dated 08/06 after 015353/015355 printed earlier (number vs date order differ)
CR_SALES,1,30,08/06/2026,015356,INV/NO : 015356 SHIM,,,45.80,2343758.73,CR,2,
CR_SALES,1,31,08/06/2026,022276,INV.NO : 022276 GEORGINA,,,72.00,2343830.73,CR,3,particulars prefix INV.NO with dot (as printed)
CR_SALES,1,32,08/06/2026,2004896,INV/NO2004896 CHEONGSENG,,,3678.00,2347508.73,CR,4,
CR_SALES,1,33,08/06/2026,34947,INV/NO34947 SEGARRAYA,,,12873.80,2360382.53,CR,5,
CR_SALES,1,34,08/06/2026,34948,INV/NO : 34948 KEDAI NO.1,,,556.50,2360939.03,CR,6,
CR_SALES,1,35,08/06/2026,63899,INV/NO63899 C-CARE(1),,,4860.00,2365799.03,CR,7,also appears in C-CARE(1) debtor ledger 08/06
CR_SALES,1,36,08/06/2026,63903,INV/NO63903 MELAWAR,,,3540.50,2369339.53,CR,8,
CR_SALES,1,37,08/06/2026,015359,INV/NO : 015359 GL,,,6365.00,2375704.53,CR,9,015359 printed after 63903 within 08/06
CR_SALES,1,38,09/06/2026,2004904,INV/NO2004904 GUI(5),,,4254.00,2379958.53,CR,1,
CR_SALES,1,39,09/06/2026,34951,INV/NO34951 HAPSENG,,,10864.30,2390822.83,CR,2,
CR_SALES,1,40,09/06/2026,63906,INV/NO63906 MYSHOP-LK,,,1710.00,2392532.83,CR,3,original sale for THCN/26/17
CR_SALES,1,41,09/06/2026,63907,INV/NO63907 MYSHOP-QL,,,1201.50,2393734.33,CR,4,original sale for THCN/26/18
CR_SALES,1,42,09/06/2026,63908,INV/NO63908 MYSHOP(KM),,,878.50,2394612.83,CR,5,original sale for THCN/26/19
CR_SALES,2,43,09/06/2026,63909,INV/NO63909 UMART,,,1282.50,2395895.33,CR,6,
CR_SALES,2,44,09/06/2026,63912,INV/NO63912 UMART,,,513.00,2396408.33,CR,7,
CR_SALES,2,45,09/06/2026,63913,INV/NO : 63913 ONESTOP,,,870.00,2397278.33,CR,8,
CR_SALES,2,46,10/06/2026,025845,INV/NO : 025845 KLIAS,,,22949.90,2420228.23,CR,1,leading zero series 025xxx
CR_SALES,2,47,10/06/2026,2004906,INV/NO : 2004906 MORE,,,18164.60,2438392.83,CR,2,
CR_SALES,2,48,10/06/2026,63915,INV/NO63915 AA,,,1710.00,2440102.83,CR,3,
CR_SALES,2,49,10/06/2026,THCN/26/17,BEING 3% PROMPT PAYMENT FOR INV.NO:63906 (RM1710 X 3%),,51.30,,2440051.53,CR,4,CN DEBIT in CR_SALES; plan fixture 9; particulars wraps to 2nd line "(RM1710 X 3%)"
CR_SALES,2,50,10/06/2026,THCN/26/18,BEING 3% PROMPT PAYMENT FOR INV.NO:63907 (RM1201.50 X 3%),,36.05,,2440015.48,CR,5,CN DEBIT; date partially hole-punched; day inferred 10
CR_SALES,2,51,10/06/2026,THCN/26/19,BEING 3% PROMPT PAYMENT FOR INV.NO:63908 (RM878.50 X 3%),,26.35,,2439989.13,CR,6,CN DEBIT
CR_SALES,2,52,11/06/2026,2004908,INV/NO2004908 C-CARE(7),,,5435.00,2445424.13,CR,1,
CR_SALES,2,53,11/06/2026,2004910,INV/NO2004910 GUANHING,,,595.00,2446019.13,CR,2,
